type,posts
INFP,"['INFP', 'INFJ', 'ENFP', 'INFJ', 'ISTP', 'INFJ', 'ENTP', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'INFJ', 'ENFP', 'ENTP', 'ISFP', 'INFP', 'ENFP', 'ENTJ', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INTP', 'INTP', 'INFP', 'ISFJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'ENTP', 'INTP', 'INTP', 'INFJ', 'INTP']"
ISFJ,"['ISFP', 'INTJ', 'ENFP', 'INTP', 'ISTP', 'INTJ', 'INFJ', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ISFJ', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'ISFJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INFJ', 'INFP', 'INFP', 'INTP']"
ENTP,"['INFJ', 'INTP', 'ENTP', 'INFP', 'INTP', 'INTJ', 'ENFP', 'INTP', 'ENTP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'ISTP', 'INTJ', 'INTP', 'INFJ', 'INTP', 'INFP', 'INFJ', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INTP', 'INTP', 'INTJ', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'INFJ', 'ENFP', 'INTJ', 'ISTJ', 'INFP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'ISTP', 'INFP', 'ENFP', 'INFP']"
INTJ,"['ISTJ', 'ISTP', 'ISTP', 'ENFP', 'ISTJ', 'INFJ', 'ENFP', 'INTP', 'INTJ', 'INTJ', 'ENTJ', 'ISTP', 'INTJ', 'INTP', 'INTP', 'INTP', 'INTP', 'ISTP', 'INFJ', 'INTP', 'ENFP', 'INTJ', 'ENFP', 'INTJ', 'INFP', 'INFJ', 'ENTP', 'ENTJ', 'ENTJ', 'INFJ', 'INFJ', 'INTJ', 'ENFP', 'INFP', 'INFJ', 'ISTP', 'INFP', 'INFP', 'INTP', 'ENTP', 'ISTP', 'ISTJ', 'ENFP', 'INTJ', 'INTP', 'ISTJ', 'ISTP', 'INFP', 'ENTP', 'INFP']"
INTP,"['INFJ', 'INTP', 'INFJ', 'INTP', 'INFP', 'INTP', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'INFP', 'INFP', 'INTP', 'ENTP', 'ENTP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'ENTP', 'INTJ', 'ISTP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTJ', 'INFJ', 'INTP', 'ISTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP']"
INFP,"['ENFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'ENTP', 'INFJ', 'INTP', 'INFP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ISTP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'INFJ']"
ENTP,"['INFP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'INFJ', 'ENFP', 'ISFP', 'INTP', 'INFP', 'ENFP', 'ENTP', 'INTP', 'ISTP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'ISTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'ENTP', 'INFP', 'ENTP', 'INFP', 'INFP', 'ENFP', 'ENTP', 'ENFP', 'INTP', 'INFJ', 'ENTJ', 'INTP', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INTJ']"
ENFJ,"['INFP', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTJ', 'ENTJ', 'ENTP', 'ENFP', 'ISTP', 'INTJ', 'ENFP', 'INFJ', 'INFP', 'ISTP', 'ENFP', 'INFP', 'ENFP', 'ENFJ', 'ENTP', 'INFP', 'ENFP', 'INFJ', 'ENTP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENTP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'ENTP']"
INFJ,"['ISFP', 'INFP', 'ENTP', 'INFP', 'INTP', 'INTP', 'ENFP', 'INFP', 'INFP', 'INTJ', 'INFJ', 'INTP', 'INTJ', 'INTP', 'INFJ', 'INTP', 'INTP', 'INFJ', 'INTP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INFJ', 'ISTP', 'ISFP', 'ENTJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'INFJ', 'INFJ', 'INTP', 'ENTP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFJ', 'INTJ', 'INTP', 'INTP']"
INTP,"['INTP', 'INTP', 'INTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'INTJ']"
ISFP,"['INTP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INTP', 'ISFJ', 'INFJ', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'ISTP', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTP', 'INTP', 'ISTP', 'ENFP', 'ENFP', 'INFP', 'ENTP', 'ISTP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'INFJ', 'INTP', 'INFP', 'ENFP', 'ISTP', 'INTJ', 'INTJ', 'ISTP', 'INFJ', 'ISTP', 'INFP', 'INFJ']"
INFP,"['INFP', 'INFJ', 'INFJ', 'INTP', 'ISTP', 'INTP', 'ISTP', 'INTJ', 'INFP', 'ISTJ', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'ISTJ', 'INTJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'ISTP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INTP', 'INTJ', 'ENFP', 'ISTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INTP', 'INTP', 'ISTP', 'ISTP', 'ENFP', 'ENFP']"
INTP,"['ISFP', 'INFP', 'INFJ', 'ISTJ', 'INFP', 'INFJ', 'INFJ', 'ENFP', 'INTJ', 'INFJ', 'INTP', 'INTJ', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'ISFP', 'ENFP', 'INFJ', 'INFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'ISTJ', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'ISFJ', 'INFP', 'ENFP', 'ENFP', 'INTJ', 'ISFP', 'INTJ', 'ENFP', 'INFP', 'INFP']"
ENTP,"['INFP', 'INFJ', 'ISFP', 'INFP', 'ENFP', 'ISTP', 'INTP', 'INFJ', 'INFJ', 'INTP', 'INTJ', 'ISTJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'ENTJ', 'INTP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INTJ', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INTJ', 'ISTP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'INFJ', 'ISTP', 'INFP', 'ENTP', 'INFJ', 'INFJ', 'ISTP', 'INTJ', 'INTP']"
ISTJ,"['ENFJ', 'ENFP', 'ISTP', 'INFJ', 'INFJ', 'INTP', 'INFP', 'INFP', 'INTP', 'ENFP', 'ISTJ', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'ENTP', 'ENFP', 'INFP', 'ENTP', 'ISTP', 'ENFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFP', 'ENTJ', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'INFJ', 'INTP']"
INTP,"['ENFP', 'INTJ', 'INTP', 'INTJ', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INTJ', 'INTP', 'INTP', 'ISFJ', 'INTP', 'ISFP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ISTP', 'ENFP', 'ENFP', 'INTJ', 'ENFP', 'ISFP', 'INFP', 'INFJ', 'INTJ', 'INFP', 'ISTP', 'INTP', 'ENFP', 'INFP', 'INFP']"
INFJ,"['ENFP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'INFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INTP', 'INTJ', 'ENFP', 'INFJ', 'INFP', 'ENTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INTP', 'INTJ', 'ENFP', 'INFJ', 'INTP', 'INTP', 'ENFP', 'ISFJ', 'INFJ', 'INTP', 'INFJ', 'INFP', 'ENFP', 'ISTJ', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INTP', 'ISTP', 'ENTP']"
ISFP,"['INTP', 'ENFP', 'ENFP', 'ISTP', 'INTJ', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INTJ', 'ISTP', 'INTP', 'INTP', 'ENTP', 'INFP', 'ISTP', 'INTP', 'INTP', 'INFJ', 'ENFP', 'INFP', 'INFP', 'ENFJ', 'INTJ', 'ENTP', 'INFJ', 'INFJ', 'ENFP', 'INFP', 'INFP', 'INFP', 'ISTJ', 'INFJ', 'ENFP', 'INFJ', 'INFP', 'INTP', 'ISTP', 'ISTP', 'INFP', 'INFP', 'INFP', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INFP', 'INTP']"
INTP,"['ISTP', 'ENTP', 'INTJ', 'INFJ', 'INTP', 'ISTP', 'ISTP', 'ISTP', 'INFP', 'INTP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENTP', 'INTJ', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'INTJ', 'INTP', 'ISTP', 'ISTP', 'INFJ', 'INFP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'INTJ', 'INFP', 'INTJ', 'INFP', 'ISTJ', 'INTJ', 'ISTP', 'INTP', 'INTJ', 'INTP', 'INTP']"
INFJ,"['ENFP', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'ISFJ', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'INTP', 'INTJ', 'INTJ', 'INTP', 'ENFP', 'ISTP', 'ENFP', 'INFP', 'ENTJ', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'ENFP', 'INTP', 'INFP', 'INFJ', 'INFJ', 'ENFP', 'ISTP', 'INFP', 'INFJ', 'INTP', 'ISTP', 'ENFP', 'ISTP', 'INTP']"
ENTP,"['INFP', 'ENFP', 'ENTP', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INTP', 'ISTP', 'INFJ', 'INTP', 'INFP', 'INTP', 'INFJ', 'ISTJ', 'ISTJ', 'INTJ', 'ENTP', 'INFJ', 'ISTP', 'ENFP', 'INTJ', 'ISTP', 'INTP', 'ENTP', 'ISTJ', 'ENTP', 'INTJ', 'INFJ', 'INFP', 'INFP', 'ENTP', 'ISTJ', 'INFP', 'INTP', 'INFJ', 'INTP', 'INTJ', 'INTJ', 'INTP', 'ISTP', 'INFP', 'INTP', 'INFJ', 'INTJ', 'ISFP', 'ENFP', 'ENTP', 'ENFP', 'INTJ']"
INTP,"['ISFJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INFP', 'INFJ', 'INTP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'INFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'INFJ', 'INFP', 'ISFP', 'INTJ', 'ENTP', 'ENTP', 'ENFP', 'INFJ', 'ISTP', 'ENFP', 'INTJ', 'ENFP', 'ISTP', 'INTJ']"
INFJ,"['INTP', 'INTJ', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INTJ', 'INFP', 'INTP', 'INFJ', 'INFP', 'INTJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFJ', 'INTP', 'ENFP', 'INTP', 'INFJ', 'INFJ', 'INFP', 'ISTP', 'INFJ', 'INTP', 'INFP', 'ISTP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'ENTP', 'INTP', 'ENFP', 'INTJ', 'ENTP', 'INFJ', 'INTJ', 'INFJ', 'ISFP', 'INTP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INFP', 'INTP', 'ENFP']"
INFJ,"['INFP', 'INFJ', 'INTJ', 'ENFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'ENTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'ISTP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'INTP', 'INFJ', 'ISFP', 'ENFP', 'INTP', 'ENTP', 'INFP', 'INFJ', 'INTP', 'INFP', 'ISTJ', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INTP', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'INFP', 'ISTP', 'INFJ', 'INTP']"
ENTJ,"['INTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'ENFP', 'INTP', 'ISTJ', 'ISTP', 'ENTP', 'ISFJ', 'INTP', 'INTJ', 'INTJ', 'ISTP', 'INFP', 'ENFP', 'INTJ', 'ISTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INTP', 'ISTP', 'INFJ', 'ENFP', 'ISTJ', 'INFJ', 'INFJ', 'INTP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'INFP', 'INFJ', 'ENTJ', 'INFJ', 'INFJ', 'ISTJ', 'INTJ', 'INFJ', 'ISTP']"
INTP,"['INTP', 'INTJ', 'INTP', 'INTP', 'INFJ', 'INTP', 'INFJ', 'INTJ', 'ISFJ', 'INTP', 'ISTP', 'INTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'ISFP', 'INFJ', 'ENFP', 'INFP', 'ENTP', 'ENTP', 'ISTP', 'INTP', 'INTP', 'INTP', 'ISFJ', 'INTP', 'ISTP', 'INTP', 'INTP', 'INFJ', 'INTP', 'ENFP', 'INTP', 'ENTP', 'INTP', 'INFP', 'INTP', 'ISFJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'INFJ']"
INFJ,"['INFJ', 'ENFP', 'INFJ', 'ENFP', 'INTJ', 'INFJ', 'INTP', 'ENFP', 'INFP', 'INTP', 'ISTP', 'INFJ', 'INFP', 'INTP', 'ISTJ', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INFJ', 'INTJ', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INFP', 'INTJ', 'INFP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INFP', 'ENTP', 'ENFP', 'ISTP', 'INTP', 'ISTP', 'ENFP', 'INTP', 'INFP']"
INFP,"['ENFP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INTP', 'INFJ', 'INFP', 'INTJ', 'INFP', 'INFP', 'INFP', 'ISTP', 'INFP', 'INFP', 'INTJ', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'INFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INTP', 'INFP', 'INFP']"
ESTJ,"['INTJ', 'INTP', 'ISTP', 'INTP', 'ENFP', 'ISTP', 'INTP', 'ENTP', 'INTJ', 'INTP', 'ISTP', 'ENFP', 'ISFJ', 'INFJ', 'ISTP', 'INTJ', 'INFP', 'INFJ', 'INTJ', 'ENTP', 'ISTP', 'INTJ', 'INFP', 'INTJ', 'INTJ', 'INTJ', 'ISFJ', 'ENTP', 'ISFP', 'INTJ', 'ISTP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'ISTP', 'ENFP', 'ISTP', 'INFP', 'INTP', 'ENTP', 'ISTP', 'ISTP', 'ENFP', 'ENFP', 'ENTP', 'INFJ', 'INFP', 'INTP', 'ISTP']"
ENFJ,"['INFP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'ENTP', 'ISTJ', 'INFJ', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ISTJ', 'INFP', 'INTJ', 'ENFP', 'INTP', 'INFP', 'ENTP', 'INFJ', 'INFP', 'INTJ', 'INTP', 'ISFP', 'INFP', 'ENTP', 'INFP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INTJ', 'INTP', 'ENFP', 'ENFJ', 'ENTP', 'ENFP', 'ISTP', 'INTP', 'ISTP', 'INTJ', 'INFP']"
INFJ,"['ENFP', 'ENFP', 'INFP', 'INFP', 'ENTP', 'INFJ', 'INFP', 'ENTP', 'INTJ', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'ISFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFJ']"
INFP,"['INTP', 'INFP', 'ISFJ', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'ISFJ', 'ENFP', 'ISFP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'ISTP', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'INFJ', 'INFJ', 'INFP', 'ISTJ', 'INTP', 'INFJ', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'INTJ', 'INTP', 'ENFP', 'INTP', 'INTJ']"
INFP,"['INTJ', 'INFJ', 'ENFP', 'ENTP', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFJ', 'INFJ', 'ENFP', 'INTP', 'INTP', 'INFP', 'INTJ', 'INFJ', 'ENFP', 'INFP', 'INFP', 'ENFP', 'ENTJ', 'ENTP', 'ISTP', 'ENFP', 'INTP', 'INFP', 'INFP', 'INFJ', 'ISTP', 'ENTP', 'INTP', 'INFJ', 'INTP', 'INFP', 'INTJ', 'ENFP', 'INFJ', 'INTP']"
INFP,"['INFJ', 'INFP', 'INFP', 'ENFP', 'ISTP', 'INTP', 'INFP', 'INFJ', 'INTP', 'INTP', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'ISTP', 'INFP', 'INFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INTP', 'INFP', 'ISFP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INTP', 'INFP']"
INFP,"['INTP', 'INFP', 'INFP', 'INFP', 'ENTP', 'INFP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'INFP', 'ENTJ', 'ENTP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ENTP', 'ENFP', 'INTJ', 'INFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'INFP', 'ENTP', 'ENFP', 'INFP', 'ENFP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INTJ', 'ENFP', 'ENTP', 'INFP', 'INFJ', 'INFP', 'INFP']"
INFJ,"['INTP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'INFJ', 'INTP', 'ENFP', 'INFJ', 'INFP', 'INFJ', 'ISTP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INTP', 'INFP', 'INTP', 'ISTP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'INFJ', 'INTP', 'INFP', 'INFJ', 'ISTP', 'INTP', 'ENFP', 'ISTP', 'ENFP', 'ENFP', 'INTP', 'ISTP', 'INFP', 'ENFP', 'ENTP']"
INFP,"['ENFP', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTP']"
INTP,"['INTP', 'ENFP', 'ENFP', 'INTJ', 'INTJ', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'ISTP', 'INTP', 'ISTP', 'ISTP', 'ISTP', 'INFJ', 'INTP', 'ISTP', 'INFP', 'INTP', 'ISTP', 'ENFP', 'INFJ', 'ENFP', 'ISTP', 'ENFP', 'INTP', 'ENFP', 'ISTP', 'ENFP', 'INFJ', 'ISTP', 'ISTP', 'INTP', 'ISTP', 'ENTP', 'INFP', 'ENTP', 'ENFP', 'INTP', 'ENTP', 'INFP', 'INFJ', 'INTP', 'INFP', 'INTJ', 'INTP', 'INFP', 'INFP', 'INTP']"
INTP,"['INTP', 'INFP', 'INTJ', 'ISTJ', 'ISFJ', 'ENTP', 'INTP', 'INTP', 'ISTP', 'ENFP', 'ENFP', 'ENTP', 'INTJ', 'INTP', 'ISTP', 'INTP', 'INTJ', 'INFP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INFJ', 'ISFP', 'INFP', 'INTP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'INTJ', 'INTJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFP']"
ENTP,"['INFJ', 'INTP', 'ISTP', 'ISFJ', 'INTJ', 'ENTP', 'ENTJ', 'ENFP', 'INTJ', 'ISFJ', 'ENFP', 'INFP', 'INFP', 'INTP', 'INTP', 'ENTP', 'INTP', 'INTP', 'ENTP', 'ENFP', 'ISTP', 'INFJ', 'ISTP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'INTJ', 'INFJ', 'ISTP', 'ISFJ', 'INFJ', 'ENTP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INTP', 'INFJ', 'ISFP', 'INTJ']"
ISTJ,"['INFJ', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INFP', 'INTP', 'INTP', 'INFJ', 'INTJ', 'ENFP', 'ENFP', 'INTJ', 'INFJ', 'ENTP', 'INFJ', 'INFJ', 'INTJ', 'INTP', 'INFP', 'INFJ', 'INTP', 'INFJ', 'ISTP', 'INTP', 'ENFP', 'INTJ', 'ENFP', 'ENTP', 'INTP', 'INTP', 'INTP', 'INFJ', 'INFP', 'INTJ', 'INFP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INTP']"
INFP,"['INFJ', 'INFJ', 'INFP', 'ENFP', 'INTP', 'INFJ', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENTP', 'ENTP', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'INFP', 'ISFJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ISTP', 'INFP', 'ENFP', 'ENFP']"
INFJ,"['ENFP', 'INFP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INFP', 'INTP', 'ENFP', 'ENTP', 'INTP', 'ENTP', 'ISTP', 'INTP', 'ENTP', 'INTP', 'INFJ', 'ISTP', 'INTP', 'INFP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'INFP', 'INTP', 'ENTP', 'INFJ', 'INFP', 'INFP', 'ISTP', 'INTP', 'INTJ', 'INFP', 'INFJ', 'INTP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'ENTP', 'INTP', 'INFJ', 'ISTP', 'INFP', 'INFP', 'INTJ', 'INFP']"
ISTJ,"['ISFP', 'ENFP', 'INTJ', 'ISTJ', 'ENTP', 'INFP', 'ENFP', 'ISTJ', 'ISFP', 'INFP', 'ENFP', 'INFP', 'ISTJ', 'INTP', 'INFP', 'ISFJ', 'ISTP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'ISTJ', 'ISTP', 'INTP', 'INTJ', 'INFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'ISTJ', 'ENFP', 'INFJ', 'ISFJ', 'ISTP', 'ISFP', 'ISTJ', 'INTP', 'ENTP', 'ENFP', 'INFJ', 'INTP', 'ISTJ', 'ENFP', 'ENFP']"
INFJ,"['INFJ', 'INFP', 'INFJ', 'INTP', 'INTJ', 'INFJ', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INTP', 'ISTP', 'ISTP', 'INTJ', 'ENTP', 'ISFJ', 'ENFP', 'INTJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'ISFP', 'ISTP', 'INFJ', 'INTP', 'ENFP', 'INFJ', 'INFJ', 'INFJ', 'ENFP', 'INTP', 'INTJ', 'INTP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'ISTJ', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INFP']"
